training_iteration,policy,mean_kl_loss,policy_loss,vf_loss,total_loss,total_steps
1,policy_1,0.019541936,-0.009238139,0.008225796,-4.4751447e-05,4096.0
1,policy_2,0.013169486,-0.030119872,0.9024496,0.87232584,4096.0
1,policy_9,0.009274143,-0.04113948,0.0932525,0.051365077,4096.0
1,policy_8,0.01418477,-0.0529181,0.40856937,0.35561004,4096.0
1,policy_4,0.010696235,0.023506043,0.13387308,0.15681738,4096.0
1,policy_6,0.015033605,0.014198812,0.57860357,0.59292525,4096.0
1,policy_3,0.01135094,-0.039814316,0.36620638,0.32594463,4096.0
1,policy_7,0.00831815,-0.029469883,0.29467025,0.26398873,4096.0
1,policy_5,0.0063130236,-0.02648142,0.12504703,0.09716681,4096.0
1,policy_0,0.00944642,-0.027894136,0.20453277,0.17584078,4096.0
2,policy_1,0.011940302,-0.032849725,0.24762589,0.21420586,8192.0
2,policy_2,0.009053866,-0.06544185,0.115815975,0.049553342,8192.0
2,policy_9,0.007637171,-0.048650865,0.06405866,0.014324414,8192.0
2,policy_8,0.009838292,0.0031482098,0.5187698,0.5209947,8192.0
2,policy_4,0.015653264,-0.030821286,0.883605,0.8531725,8192.0
2,policy_6,0.012492858,-0.02651158,0.48179504,0.45498952,8192.0
2,policy_3,0.014826775,0.014804026,0.581695,0.59670186,8192.0
2,policy_7,0.012703192,-0.039366037,0.277772,0.23803309,8192.0
2,policy_5,0.008484527,0.018156286,0.48045564,0.4976103,8192.0
2,policy_0,0.011900213,-0.028502017,0.10309225,0.07428791,8192.0
3,policy_1,0.008262714,0.006525211,0.298349,0.30358064,12288.0
3,policy_2,0.0160929,-0.008689131,0.6970679,0.68894684,12288.0
3,policy_9,0.008725452,-0.046277296,0.37072772,0.32353175,12288.0
3,policy_8,0.008705373,0.0043916907,0.511541,0.51486063,12288.0
3,policy_4,0.012360081,0.011969123,0.29910934,0.31074274,12288.0
3,policy_6,0.01256182,0.0047432263,0.33327413,0.3376463,12288.0
3,policy_3,0.009884252,-0.07111239,0.076837964,0.00492266,12288.0
3,policy_7,0.011538764,-0.061081342,0.5239684,0.46231496,12288.0
3,policy_5,0.013671322,-0.047779497,0.5028762,0.4551302,12288.0
3,policy_0,0.019805497,-0.047892816,0.89150214,0.84486717,12288.0
4,policy_1,0.009878779,-0.028258523,0.71935827,0.6900596,16384.0
4,policy_2,0.019185139,-0.07237221,1.127063,1.055993,16384.0
4,policy_9,0.0072843707,-0.04566001,0.2883348,0.24153121,16384.0
4,policy_8,0.012039834,0.02719265,0.14289819,0.16944873,16384.0
4,policy_4,0.029933078,-0.015313775,0.9555694,0.9434215,16384.0
4,policy_6,0.020696644,-0.08459311,1.4409002,1.3576465,16384.0
4,policy_3,0.00787445,-0.017116224,0.123694934,0.105294086,16384.0
4,policy_7,0.013427991,-0.042531393,0.66348875,0.62057555,16384.0
4,policy_5,0.010450991,-0.018165436,0.7087808,0.6898808,16384.0
4,policy_0,0.0063618505,-0.073390394,0.21134666,0.13644275,16384.0
5,policy_1,0.0096347425,0.02583846,0.53224444,0.55698776,20480.0
5,policy_2,0.01758358,-0.019024458,0.9891747,0.9709579,20480.0
5,policy_9,0.012405909,-0.06462359,0.19417308,0.12938212,20480.0
5,policy_8,0.011267203,-0.034358986,0.37889376,0.34380707,20480.0
5,policy_4,0.014171219,0.0022596405,0.52866215,0.5323936,20480.0
5,policy_6,0.0077133225,0.003081662,0.41947463,0.4218568,20480.0
5,policy_3,0.013319434,0.053474784,1.1369246,1.1903332,20480.0
5,policy_7,0.015238504,-0.026809748,0.38149092,0.3547723,20480.0
5,policy_5,0.013008679,-0.037974115,0.48529148,0.44717956,20480.0
5,policy_0,0.013356861,0.03869703,0.25333303,0.291967,20480.0
6,policy_1,0.011925432,-0.029486895,0.478969,0.4488696,24576.0
6,policy_2,0.01827149,-0.027177053,0.9133177,0.8870904,24576.0
6,policy_9,0.009751708,-0.04401946,0.37295946,0.3281599,24576.0
6,policy_8,0.00941426,-0.017899347,0.1909576,0.17199351,24576.0
6,policy_4,0.0062712682,-0.0478285,0.21901834,0.1701553,24576.0
6,policy_6,0.016483659,0.040814824,0.19106854,0.23405236,24576.0
6,policy_3,0.011833998,-0.061300818,0.5203609,0.45866346,24576.0
6,policy_7,0.014500427,0.041703016,1.1145266,1.1560568,24576.0
6,policy_5,0.014260469,-0.052619487,0.45449513,0.40197513,24576.0
6,policy_0,0.011566264,-0.021517359,0.60815525,0.5862532,24576.0
7,policy_1,0.01446004,-0.031370007,1.3012992,1.2698976,28672.0
7,policy_2,0.0072099967,-0.06002354,0.67515224,0.613876,28672.0
7,policy_9,0.008655654,-0.00022282293,0.34218732,0.3410195,28672.0
7,policy_8,0.014684296,-0.009160598,0.70839375,0.69914275,28672.0
7,policy_4,0.0072507914,0.0190695,0.4047442,0.4231756,28672.0
7,policy_6,0.012326736,-0.09265626,0.62077314,0.52907294,28672.0
7,policy_3,0.016655972,-0.011128588,0.6607137,0.65003425,28672.0
7,policy_7,0.011196845,-0.022530694,0.34052363,0.31733945,28672.0
7,policy_5,0.010581495,-0.05884092,0.43298313,0.37360945,28672.0
7,policy_0,0.009978622,0.04824124,0.29727268,0.3449861,28672.0
8,policy_1,0.016036594,-0.06852727,0.9366628,0.8685513,32768.0
8,policy_2,0.013139484,-0.024478717,0.68254834,0.6578822,32768.0
8,policy_9,0.0117224585,-0.037253976,0.18255913,0.14508882,32768.0
8,policy_8,0.008888696,-0.06552566,0.26998463,0.20316446,32768.0
8,policy_4,0.013041349,-0.010616485,0.36178517,0.35229272,32768.0
8,policy_6,0.011641626,0.03465181,0.41842574,0.45382538,32768.0
8,policy_3,0.017864417,-0.00256848,1.1460946,1.1443508,32768.0
8,policy_7,0.0094427755,-0.0522308,0.32258925,0.26923683,32768.0
8,policy_5,0.012203894,-0.09231698,0.80042887,0.70770687,32768.0
8,policy_0,0.012528969,-0.01883454,0.5928226,0.5738948,32768.0
9,policy_1,0.015034354,-0.003407678,0.7351972,0.73189217,36864.0
9,policy_2,0.016580401,0.0655281,0.9456407,1.0117278,36864.0
9,policy_9,0.007670989,-0.023517463,0.8173759,0.7930403,36864.0
9,policy_8,0.017536053,-0.03679248,0.8779206,0.8416557,36864.0
9,policy_4,0.007824155,0.0033048938,0.4240089,0.4269105,36864.0
9,policy_6,0.008549061,0.0076997722,0.85275054,0.8602052,36864.0
9,policy_3,0.00807435,0.012618182,0.5107533,0.52231455,36864.0
9,policy_7,0.009642496,-0.026362777,0.3144099,0.28702468,36864.0
9,policy_5,0.011229566,-0.028673701,0.8055185,0.77644384,36864.0
9,policy_0,0.011074177,-0.028582541,0.56523705,0.53617656,36864.0
10,policy_1,0.023562852,-0.011529528,1.9423449,1.9327706,40960.0
10,policy_2,0.025933564,-0.059921544,1.1004689,1.0430311,40960.0
10,policy_9,0.013804291,0.01231359,0.38036522,0.39289993,40960.0
10,policy_8,0.018832073,-0.0017156245,1.3550316,1.3540488,40960.0
10,policy_4,0.015347367,0.008714701,1.1376723,1.1482831,40960.0
10,policy_6,0.008534007,-0.042348314,0.79438126,0.75202465,40960.0
10,policy_3,0.028797558,-0.029062176,1.524837,1.4989902,40960.0
10,policy_7,0.009377558,-0.09255524,0.25881264,0.16513883,40960.0
10,policy_5,0.016736705,-0.00690121,0.715711,0.7090388,40960.0
10,policy_0,0.012878851,-0.105570994,0.42459902,0.31909576,40960.0
11,policy_1,0.007756555,0.026254632,0.8629235,0.88832533,45056.0
11,policy_2,0.013399804,0.023778807,0.9597699,0.98524976,45056.0
11,policy_9,0.007880557,-0.05195872,0.905071,0.85223395,45056.0
11,policy_8,0.015569915,-0.08069961,1.251746,1.1715643,45056.0
11,policy_4,0.004945431,-0.058738194,0.27082053,0.21074525,45056.0
11,policy_6,0.011165146,-0.071877874,0.5382815,0.466884,45056.0
11,policy_3,0.010290576,0.0017935463,0.91127706,0.9134057,45056.0
11,policy_7,0.0086878,0.010536997,0.16484278,0.17414676,45056.0
11,policy_5,0.017353816,0.018462054,0.95445204,0.97347134,45056.0
11,policy_0,0.010821956,-0.038511656,0.25533926,0.21625821,45056.0
12,policy_1,0.0078332275,0.015772827,0.76507413,0.7800181,49152.0
12,policy_2,0.012308314,-0.044060253,0.6826898,0.63988864,49152.0
12,policy_9,0.009818803,-0.034498625,0.17499475,0.13970521,49152.0
12,policy_8,0.01693569,-0.05195566,1.1169964,1.0658048,49152.0
12,policy_4,0.013391329,-0.019040331,0.61507803,0.5953792,49152.0
12,policy_6,0.012305707,-0.0831661,0.75453836,0.6720982,49152.0
12,policy_3,0.012034206,-0.03129924,1.0865961,1.0560992,49152.0
12,policy_7,0.0136248395,-0.031205418,0.7290159,0.69753945,49152.0
12,policy_5,0.017828172,-0.069375396,1.1438923,1.0749937,49152.0
12,policy_0,0.013971926,-0.020891748,0.8659009,0.8451474,49152.0
13,policy_1,0.0071910177,-0.015093512,0.22667202,0.2104235,53248.0
13,policy_2,0.020255957,-0.05465742,1.3143339,1.2634741,53248.0
13,policy_9,0.014137452,-0.08206202,0.44577056,0.36398688,53248.0
13,policy_8,0.009313169,0.035472363,0.70740753,0.741688,53248.0
13,policy_4,0.009741365,-0.032226708,0.25176972,0.2181486,53248.0
13,policy_6,0.010771244,-0.08403918,0.5087072,0.42526287,53248.0
13,policy_3,0.017825762,-0.03573362,1.0837959,1.0501508,53248.0
13,policy_7,0.011858359,0.013142615,0.715897,0.7283985,53248.0
13,policy_5,0.0054268343,-0.09239869,0.13683923,0.042604923,53248.0
13,policy_0,0.015608983,-0.029828656,0.37995848,0.3506939,53248.0
14,policy_1,0.01943466,-0.034156725,1.9823253,1.9510713,57344.0
14,policy_2,0.013493149,-0.050884616,1.0573721,1.0097644,57344.0
14,policy_9,0.013879478,-0.024918314,0.6864274,0.66186213,57344.0
14,policy_8,0.04431638,-0.05093267,2.8889918,2.8441787,57344.0
14,policy_4,0.021144237,-0.01039112,1.2360494,1.2258266,57344.0
14,policy_6,0.007075796,-0.0074150725,0.16868201,0.16050875,57344.0
14,policy_3,0.024350323,-0.049882393,1.3235093,1.277846,57344.0
14,policy_7,0.0072910073,-0.016862484,0.3246515,0.30631462,57344.0
14,policy_5,0.023410821,-0.037229344,1.0359299,1.0004224,57344.0
14,policy_0,0.013908111,-0.031919047,1.115842,1.0839187,57344.0
15,policy_1,0.015311608,-0.033512115,0.77960485,0.7475307,61440.0
15,policy_2,0.009220775,-0.017738504,0.9571421,0.9406362,61440.0
15,policy_9,0.038692195,-0.06363234,1.8878784,1.8293378,61440.0
15,policy_8,0.012452708,-0.014611777,1.2911358,1.2771441,61440.0
15,policy_4,0.008175874,-0.042083696,0.40199348,0.35878184,61440.0
15,policy_6,0.008783737,-0.0702593,0.27297038,0.20269775,61440.0
15,policy_3,0.010602579,-0.039215554,0.49499956,0.45745692,61440.0
15,policy_7,0.0111842835,-0.029670745,0.71964574,0.6892703,61440.0
15,policy_5,0.010917876,-0.036352403,0.7421767,0.70632905,61440.0
15,policy_0,0.011016024,-0.004146218,0.4870693,0.48222455,61440.0
16,policy_1,0.008147579,-0.007873582,0.69852227,0.6900633,65536.0
16,policy_2,0.014113084,0.01483344,0.80371284,0.82231826,65536.0
16,policy_9,0.010948186,-0.060419835,0.32062963,0.26076314,65536.0
16,policy_8,0.012836656,-0.023145529,1.0707705,1.0481784,65536.0
16,policy_4,0.008647616,-0.005821987,0.53035855,0.5237038,65536.0
16,policy_6,0.005676976,-0.019658003,0.29812646,0.27738088,65536.0
16,policy_3,0.009878449,0.06935902,0.6231772,0.6937067,65536.0
16,policy_7,0.014901867,-0.022362363,0.95026475,0.9278598,65536.0
16,policy_5,0.009047954,-0.0069353436,0.5076919,0.5002546,65536.0
16,policy_0,0.012816871,-0.03835301,0.46800324,0.4292566,65536.0
17,policy_1,0.013628017,-0.013056492,0.7194403,0.70735687,69632.0
17,policy_2,0.009455356,-0.08391801,0.3372329,0.25461724,69632.0
17,policy_9,0.010424191,0.006644209,1.3496567,1.3568331,69632.0
17,policy_8,0.01250122,-0.019745793,1.0104281,0.9912337,69632.0
17,policy_4,0.01337518,-0.010083446,1.4329451,1.423073,69632.0
17,policy_6,0.012454813,0.024365047,0.040687103,0.066164814,69632.0
17,policy_3,0.006528306,-0.021170013,0.44620413,0.4253196,69632.0
17,policy_7,0.009181551,-0.025991105,0.40547466,0.377914,69632.0
17,policy_5,0.009588334,0.002004099,0.55073816,0.55259544,69632.0
17,policy_0,0.019057263,-0.02742355,1.0463909,1.0202295,69632.0
18,policy_1,0.012974761,0.059232652,0.73863083,0.7988124,73728.0
18,policy_2,0.007282579,-0.062895864,0.7481926,0.68543375,73728.0
18,policy_9,0.008223386,-0.044232663,0.58389795,0.5393844,73728.0
18,policy_8,0.010819013,-0.011992199,0.87602276,0.86390996,73728.0
18,policy_4,0.009125423,-0.010031159,0.60604364,0.5950748,73728.0
18,policy_6,0.017381262,-0.072453454,1.2172166,1.1473837,73728.0
18,policy_3,0.0075104237,-0.024155974,0.4759161,0.4524082,73728.0
18,policy_7,0.010007389,0.010791686,0.7354342,0.74492157,73728.0
18,policy_5,0.009470624,-0.02698929,0.556095,0.528877,73728.0
18,policy_0,0.018331915,-0.013942048,0.8584516,0.8453071,73728.0
19,policy_1,0.009199243,-0.027398702,0.4313608,0.40343872,77824.0
19,policy_2,0.0068828594,-0.017451331,0.7427751,0.7254228,77824.0
19,policy_9,0.010752785,-0.017718483,0.5546349,0.53740114,77824.0
19,policy_8,0.016505742,-0.047596212,0.93360543,0.88740313,77824.0
19,policy_4,0.009328443,0.022247987,0.29415756,0.31546637,77824.0
19,policy_6,0.0115450155,0.011862461,0.55414754,0.5667177,77824.0
19,policy_3,0.004276615,-0.055911474,0.41268915,0.35619327,77824.0
19,policy_7,0.019053366,-0.062476512,0.46231303,0.40058503,77824.0
19,policy_5,0.015541684,-0.024725026,0.8943973,0.87124705,77824.0
19,policy_0,0.022421377,-0.09319428,1.5043815,1.4130874,77824.0
20,policy_1,0.010444864,-0.0070445007,0.19461048,0.18756698,81920.0
20,policy_2,0.01284332,-0.040745925,0.519082,0.48159075,81920.0
20,policy_9,0.011702698,0.015690623,0.44418436,0.46040678,81920.0
20,policy_8,0.012357741,-0.036212016,0.9855244,0.94915617,81920.0
20,policy_4,0.008869459,0.017366786,0.21372853,0.2300089,81920.0
20,policy_6,0.011445871,-0.03140189,1.0822904,1.0516956,81920.0
20,policy_3,0.010708033,0.025137406,0.23697262,0.261142,81920.0
20,policy_7,0.019845583,0.0008591573,1.1887887,1.190452,81920.0
20,policy_5,0.010029925,0.027501948,0.46448377,0.4919502,81920.0
20,policy_0,0.014062272,-0.03308954,0.7313877,0.6997324,81920.0
21,policy_1,0.0135439085,0.013107825,1.0566745,1.0704929,86016.0
21,policy_2,0.0074525834,-0.027428152,1.17179,1.1453533,86016.0
21,policy_9,0.012041162,-0.017811038,0.674168,0.65702146,86016.0
21,policy_8,0.012245033,-0.0053962106,1.0119289,1.0062698,86016.0
21,policy_4,0.010482345,-0.005223143,0.377975,0.37227762,86016.0
21,policy_6,0.010279482,-0.055265855,0.46385807,0.4088246,86016.0
21,policy_3,0.010393517,0.031656366,0.61624444,0.6471057,86016.0
21,policy_7,0.013115991,-0.04972855,1.4222344,1.371768,86016.0
21,policy_5,0.008587806,-0.029920802,0.707914,0.6774602,86016.0
21,policy_0,0.0070387647,0.038615003,1.0407287,1.0786544,86016.0
22,policy_1,0.006362685,-0.06660692,0.26336393,0.1949251,90112.0
22,policy_2,0.007988999,-0.021226306,0.32113692,0.30054957,90112.0
22,policy_9,0.013448225,-0.02543203,0.8680718,0.8435746,90112.0
