training_iteration,total_steps,reward_mean,reward_raw_mean,lr
1.0,4096.0,-3.7174104290473933,-3.7174104290473933,0.0001
2.0,8192.0,-3.394622707182337,-3.394622707182337,0.0001
3.0,12288.0,-3.883941643670601,-3.883941643670601,0.0001
4.0,16384.0,-5.261488603135087,-5.261488603135087,0.0001
5.0,20480.0,-5.3009293240457325,-5.3009293240457325,0.0001
6.0,24576.0,-5.225566881537846,-5.225566881537846,0.0001
7.0,28672.0,-5.569898167391649,-5.569898167391649,0.0001
8.0,32768.0,-5.5764673014262165,-5.5764673014262165,0.0001
9.0,36864.0,-6.115632669503121,-6.115632669503121,0.0001
10.0,40960.0,-6.489703794558426,-6.489703794558426,0.0001
11.0,45056.0,-6.738846154119588,-6.738846154119588,0.0001
12.0,49152.0,-6.951231990298481,-6.951231990298481,0.0001
13.0,53248.0,-7.008889359346126,-7.008889359346126,0.0001
14.0,57344.0,-7.614091095353848,-7.614091095353848,0.0001
15.0,61440.0,-8.036769705097822,-8.036769705097822,0.0001
16.0,65536.0,-7.9566095395937975,-7.9566095395937975,0.0001
17.0,69632.0,-8.146225266050008,-8.146225266050008,0.0001
18.0,73728.0,-8.412766218761032,-8.412766218761032,0.0001
19.0,77824.0,-8.618827929757176,-8.618827929757176,0.0001
20.0,81920.0,-8.755498605655317,-8.755498605655317,0.0001
21.0,86016.0,-8.842709509468323,-8.842709509468323,0.0001
22.0,90112.0,-8.680601933948036,-8.680601933948036,0.0001
23.0,94208.0,-8.757194831744567,-8.757194831744567,0.0001
24.0,98304.0,-8.625769251098273,-8.625769251098273,0.0001
25.0,102400.0,-8.851939787553853,-8.851939787553853,0.0001
26.0,106496.0,-8.898506214056136,-8.898506214056136,0.0001
27.0,110592.0,-9.151030532137181,-9.151030532137181,0.0001
28.0,114688.0,-8.928378152742635,-8.928378152742635,0.0001
29.0,118784.0,-8.67940768312004,-8.67940768312004,0.0001
30.0,122880.0,-8.738450499801806,-8.738450499801806,0.0001
31.0,126976.0,-8.616328026171319,-8.616328026171319,0.0001
32.0,131072.0,-8.333504923390338,-8.333504923390338,0.0001
33.0,135168.0,-7.931505561251072,-7.931505561251072,0.0001
34.0,139264.0,-8.128214083958342,-8.128214083958342,0.0001
35.0,143360.0,-7.971555098500194,-7.971555098500194,0.0001
36.0,147456.0,-8.095180306242955,-8.095180306242955,0.0001
37.0,151552.0,-8.012852123463626,-8.012852123463626,0.0001
38.0,155648.0,-7.566948965537241,-7.566948965537241,0.0001
